Category,Word/Phrase,Meaning (Indonesia),Example Sentence,Notes
Vocabulary,Abundant,Berlimpah,"The country has abundant natural resources.","Formal word"
Vocabulary,Accomplish,Mencapai/Menyelesaikan,"She accomplished all her goals this year.","Verb"
Vocabulary,Accurate,Akurat/Tepat,"The weather forecast was accurate today.","Adjective"
Vocabulary,Acquire,Mendapatkan/Memperoleh,"He acquired new skills through online courses.","Formal"
Vocabulary,Adequate,Cukup/Memadai,"The food supply is adequate for the whole team.",""
Vocabulary,Ambiguous,Ambigu/Tidak jelas,"The instructions were ambiguous and confusing.","Adjective"
Vocabulary,Analyze,Menganalisis,"We need to analyze the data carefully.","Verb"
Vocabulary,Apparent,Jelas/Nyata,"It was apparent that she was upset.","Adjective"
Vocabulary,Approach,Pendekatan/Mendekati,"We need a new approach to solve this problem.",""
Vocabulary,Appropriate,Tepat/Sesuai,"Make sure your clothes are appropriate for the occasion.",""
Vocabulary,Assess,Menilai/Mengevaluasi,"The teacher will assess your progress next week.","Verb"
Vocabulary,Assume,Mengasumsikan,"Don't assume things without evidence.","Verb"
Vocabulary,Beneficial,Bermanfaat,"Exercise is beneficial for your health.","Adjective"
Vocabulary,Capable,Mampu/Kompeten,"She is capable of handling the project alone.",""
Vocabulary,Challenge,Tantangan,"Learning a new language is always a challenge.",""
Vocabulary,Comprehend,Memahami,"It's hard to comprehend why he left so suddenly.","Formal for 'understand'"
Vocabulary,Conclude,Menyimpulkan,"We can conclude that the experiment was successful.","Verb"
Vocabulary,Consequence,Konsekuensi/Akibat,"Think about the consequences before making a decision.",""
Vocabulary,Consider,Mempertimbangkan,"Please consider all options before deciding.","Verb"
Vocabulary,Consistent,Konsisten,"You need to be consistent in your practice.","Adjective"
Vocabulary,Construct,Membangun/Menyusun,"They will construct a new bridge next year.","Verb"
Vocabulary,Contribute,Berkontribusi,"Everyone should contribute to the project.","Verb"
Vocabulary,Crucial,Krusial/Sangat penting,"It is crucial to submit the form on time.","Adjective"
Vocabulary,Demonstrate,Mendemonstrasikan/Membuktikan,"She demonstrated her skills during the interview.","Verb"
Vocabulary,Determine,Menentukan,"We need to determine the cause of the problem.","Verb"
Vocabulary,Diverse,Beragam,"Our team comes from diverse backgrounds.","Adjective"
Vocabulary,Effective,Efektif,"This method is very effective for learning English.","Adjective"
Vocabulary,Efficient,Efisien,"She is very efficient at managing her time.","Adjective"
Vocabulary,Emphasize,Menekankan,"The teacher emphasized the importance of grammar.","Verb"
Vocabulary,Enhance,Meningkatkan,"Reading can enhance your vocabulary significantly.","Verb"
Vocabulary,Establish,Mendirikan/Menetapkan,"The company was established in 1990.","Verb"
Vocabulary,Evaluate,Mengevaluasi,"We need to evaluate the results carefully.","Verb"
Vocabulary,Evident,Jelas/Terbukti,"It was evident that she had studied hard.","Adjective"
Vocabulary,Examine,Memeriksa/Mengkaji,"The doctor will examine the patient this afternoon.","Verb"
Vocabulary,Expand,Memperluas,"We plan to expand our business next year.","Verb"
Vocabulary,Facilitate,Memfasilitasi,"Technology can facilitate learning in many ways.","Verb"
Vocabulary,Fundamental,Fundamental/Mendasar,"Grammar is fundamental to learning any language.","Adjective"
Vocabulary,Generate,Menghasilkan/Membangkitkan,"Solar panels generate electricity from sunlight.","Verb"
Vocabulary,Genuine,Asli/Tulus,"Her smile was genuine and warm.","Adjective"
Vocabulary,Highlight,Menyoroti/Menandai,"Please highlight the key points in your essay.","Verb"
Vocabulary,Identify,Mengidentifikasi,"Can you identify the main problem here?","Verb"
Vocabulary,Implement,Mengimplementasikan,"They decided to implement a new system.","Verb"
Vocabulary,Indicate,Mengindikasikan/Menunjukkan,"The results indicate a positive trend.","Verb"
Vocabulary,Influence,Mempengaruhi,"Social media greatly influences young people.","Verb/Noun"
Vocabulary,Interpret,Menginterpretasikan,"It's not easy to interpret his tone in a text message.","Verb"
Vocabulary,Investigate,Menyelidiki,"The police are investigating the case.","Verb"
Vocabulary,Justify,Membenarkan/Membuktikan,"You need to justify your answer with evidence.","Verb"
Vocabulary,Maintain,Mempertahankan,"It's important to maintain a healthy lifestyle.","Verb"
Vocabulary,Majority,Mayoritas,"The majority of students passed the exam.","Noun"
Vocabulary,Minimize,Meminimalkan,"We should minimize waste in our daily lives.","Verb"
Vocabulary,Modify,Memodifikasi,"We need to modify our approach.","Verb"
Vocabulary,Motivate,Memotivasi,"Good teachers motivate their students to learn.","Verb"
Vocabulary,Numerous,Banyak/Beragam,"There are numerous ways to improve your English.","Adjective — formal 'many'"
Vocabulary,Obtain,Mendapatkan/Memperoleh,"You need to obtain permission before entering.","Verb — formal 'get'"
Vocabulary,Obvious,Jelas/Nyata,"The answer is obvious if you read carefully.","Adjective"
Vocabulary,Overcome,Mengatasi,"She overcame her fear of public speaking.","Verb"
Vocabulary,Participate,Berpartisipasi,"All students are encouraged to participate.","Verb"
Vocabulary,Perceive,Mempersepsikan/Memahami,"How do you perceive this situation?","Verb — formal 'see/feel'"
Vocabulary,Precise,Tepat/Presisi,"Please be precise when giving measurements.","Adjective"
Vocabulary,Predict,Memprediksi,"Scientists can predict weather patterns accurately.","Verb"
Vocabulary,Prioritize,Memprioritaskan,"Learn to prioritize your tasks every day.","Verb"
Vocabulary,Profound,Mendalam,"She has a profound understanding of English.","Adjective"
Vocabulary,Propose,Mengusulkan,"She proposed a new solution to the problem.","Verb"
Vocabulary,Pursue,Mengejar/Menekuni,"He decided to pursue a career in teaching.","Verb"
Vocabulary,Relevant,Relevan,"Make sure your examples are relevant to the topic.","Adjective"
Vocabulary,Remarkable,Luar biasa,"She made a remarkable improvement in one month.","Adjective"
Vocabulary,Require,Membutuhkan/Mengharuskan,"This job requires excellent communication skills.","Verb"
Vocabulary,Resolve,Menyelesaikan/Memecahkan,"We need to resolve this conflict peacefully.","Verb"
Vocabulary,Significant,Signifikan/Bermakna,"There is a significant difference between the two.","Adjective"
Vocabulary,Sufficient,Cukup/Memadai,"Make sure you have sufficient time to study.","Adjective — formal 'enough'"
Vocabulary,Summarize,Merangkum,"Can you summarize the main points of the text?","Verb"
Vocabulary,Support,Mendukung,"Always support your arguments with evidence.","Verb/Noun"
Vocabulary,Thorough,Menyeluruh/Teliti,"She did a thorough review of the document.","Adjective"
Vocabulary,Transform,Mengubah/Mentransformasi,"Reading can transform your way of thinking.","Verb"
Vocabulary,Unique,Unik,"Every person has a unique way of learning.","Adjective"
Vocabulary,Utilize,Memanfaatkan/Menggunakan,"Utilize every opportunity to practice English.","Verb — formal 'use'"
Vocabulary,Valid,Valid/Sah,"That is a valid argument.","Adjective"
Vocabulary,Vast,Luas/Sangat banyak,"There is a vast amount of English learning resources online.","Adjective"
Idiom,A blessing in disguise,Sesuatu yang buruk tapi ternyata baik,"Losing that job was a blessing in disguise — I found a better one.",""
Idiom,A piece of cake,Sangat mudah,"The exam was a piece of cake for her.","Informal"
Idiom,Beat around the bush,Bicara berbelit-belit tidak langsung ke intinya,"Stop beating around the bush and tell me the truth.",""
Idiom,Bite the bullet,Menghadapi situasi sulit dengan berani,"Just bite the bullet and tell him the bad news.",""
Idiom,Break the ice,Memulai percakapan/mencairkan suasana,"He told a joke to break the ice at the meeting.",""
Idiom,Burn the midnight oil,Begadang untuk belajar/bekerja,"She burned the midnight oil to finish her assignment.",""
Idiom,Cost an arm and a leg,Sangat mahal,"That designer bag costs an arm and a leg.",""
Idiom,Cut corners,Mengambil jalan pintas/tidak melakukan dengan benar,"Don't cut corners when it comes to safety.",""
Idiom,Every cloud has a silver lining,Setiap masalah ada hikmahnya,"Don't give up — every cloud has a silver lining.",""
Idiom,Get out of hand,Tidak terkontrol/menjadi kacau,"The situation got out of hand quickly.",""
Idiom,Give someone the benefit of the doubt,Memberi kepercayaan meski tidak yakin,"I'll give him the benefit of the doubt this time.",""
Idiom,Hit the nail on the head,Tepat sekali/benar,"You hit the nail on the head with that analysis.",""
Idiom,Hit the sack,Pergi tidur,"I'm exhausted. I'm going to hit the sack.",""
Idiom,In the same boat,Berada dalam situasi yang sama,"We're all in the same boat — none of us knows the answer.",""
Idiom,Kill two birds with one stone,Menyelesaikan dua masalah sekaligus,"Taking the bus saves money and reduces pollution — killing two birds with one stone.",""
Idiom,Let the cat out of the bag,Membocorkan rahasia,"She let the cat out of the bag about the surprise party.",""
Idiom,Miss the boat,Melewatkan kesempatan,"If you don't apply now you'll miss the boat.",""
Idiom,On the fence,Belum memutuskan/ragu-ragu,"She's still on the fence about which university to choose.",""
Idiom,Once in a blue moon,Sangat jarang,"He visits his hometown once in a blue moon.",""
Idiom,Pull someone's leg,Bercanda/menggoda seseorang,"Don't worry — I'm just pulling your leg!",""
Idiom,Sit on the fence,Tidak mau memihak/netral,"Politicians often sit on the fence on controversial issues.",""
Idiom,Spill the beans,Membocorkan informasi rahasia,"Who spilled the beans about the company merger?",""
Idiom,The ball is in your court,Keputusan ada di tanganmu,"I've given you all the information — the ball is in your court now.",""
Idiom,Under the weather,Sedang sakit/tidak enak badan,"I'm feeling a bit under the weather today.",""
Idiom,Up in the air,Belum pasti/masih belum jelas,"The meeting schedule is still up in the air.",""
Idiom,You can't judge a book by its cover,Jangan menilai dari penampilan luar,"She looked unfriendly but was actually kind — you can't judge a book by its cover.",""
